2023-04-09 12:59:24,Ishusoka,ip,82.117.255.127,,https://twitter.com/Ishusoka/status/1645048767484239872
2023-04-09 12:59:24,Ishusoka,ip,82.117.255.128,,https://twitter.com/Ishusoka/status/1645048767484239872
2023-04-09 12:59:24,Ishusoka,ip,144.76.173.247,,https://twitter.com/Ishusoka/status/1645048767484239872
2023-04-09 12:59:24,Ishusoka,ip,157.90.248.179,,https://twitter.com/Ishusoka/status/1645048767484239872
2023-04-09 12:59:24,Ishusoka,ip,213.252.244.62,,https://twitter.com/Ishusoka/status/1645048767484239872
2023-04-09 13:59:57,ryodan0x,ip,77.91.124.145,#RedLine,https://twitter.com/ryodan0x/status/1645064005503840256
2023-04-09 16:16:44,drb_ra,url,http://45.86.77.67:4443,#CobaltStrike,https://twitter.com/drb_ra/status/1645098427414347776
2023-04-09 16:16:44,drb_ra,url,http://45.86.77.67./wp08/wp-includes/dtcla.php,#CobaltStrike,https://twitter.com/drb_ra/status/1645098427414347776
2023-04-09 16:16:44,drb_ra,ip,45.86.77.67,#CobaltStrike,https://twitter.com/drb_ra/status/1645098427414347776
2023-04-09 16:16:48,drb_ra,url,http://101.33.214.18:8888,#CobaltStrike,https://twitter.com/drb_ra/status/1645098447358377984
2023-04-09 16:16:48,drb_ra,url,http://101.33.214.18./ca,#CobaltStrike,https://twitter.com/drb_ra/status/1645098447358377984
2023-04-09 16:16:48,drb_ra,ip,101.33.214.18,#CobaltStrike,https://twitter.com/drb_ra/status/1645098447358377984
2023-04-09 16:16:54,drb_ra,url,http://8.222.245.215:8080,#CobaltStrike,https://twitter.com/drb_ra/status/1645098471567794176
2023-04-09 16:16:54,drb_ra,url,http://8.222.245.215./wp06/wp-includes/po.php,#CobaltStrike,https://twitter.com/drb_ra/status/1645098471567794176
2023-04-09 16:16:54,drb_ra,ip,8.222.245.215,#CobaltStrike,https://twitter.com/drb_ra/status/1645098471567794176
2023-04-09 16:17:01,drb_ra,url,http://124.223.64.4:8887,#CobaltStrike,https://twitter.com/drb_ra/status/1645098499946553349
2023-04-09 16:17:01,drb_ra,url,http://124.223.64.4./dpixel,#CobaltStrike,https://twitter.com/drb_ra/status/1645098499946553349
