# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Mon, 21 Sep 2026 03:01:54 +0200
#
# IP	number of (black)lists
#
66.132.172.107	7
66.132.172.128	7
66.132.172.133	7
66.132.172.135	7
66.132.172.137	7
66.132.172.140	7
66.132.172.141	7
66.132.172.178	7
66.132.172.179	7
66.132.172.184	7
66.132.172.185	7
66.132.172.193	7
66.132.172.194	7
66.132.172.196	7
66.132.172.198	7
66.132.172.201	7
66.132.172.203	7
66.132.172.204	7
66.132.172.205	7
66.132.172.206	7
66.132.172.209	7
66.132.172.210	7
66.132.172.211	7
66.132.172.212	7
66.132.172.217	7
66.132.172.218	7
66.132.172.221	7
66.132.172.222	7
66.132.172.223	7
66.132.186.160	7
66.132.186.164	7
66.132.186.166	7
66.132.186.168	7
66.132.186.169	7
66.132.186.170	7
66.132.186.171	7
66.132.186.174	7
66.132.186.175	7
66.132.186.176	7
66.132.186.179	7
66.132.186.180	7
66.132.186.185	7
66.132.186.186	7
66.132.186.188	7
66.132.186.189	7
66.132.186.190	7
66.132.186.194	7
66.132.186.196	7
66.132.186.199	7
66.132.186.200	7
66.132.186.202	7
66.132.186.205	7
66.132.195.32	7
66.132.195.34	7
66.132.195.35	7
66.132.195.37	7
66.132.195.38	7
66.132.195.39	7
66.132.195.40	7
66.132.195.43	7
66.132.195.44	7
66.132.195.46	7
66.132.195.49	7
66.132.195.53	7
66.132.195.54	7
66.132.195.56	7
66.132.195.63	7
66.132.195.66	7
66.132.195.68	7
66.132.195.69	7
66.132.195.70	7
66.132.195.71	7
66.132.195.73	7
66.132.195.76	7
66.132.195.82	7
66.132.195.83	7
66.132.195.89	7
66.132.195.90	7
66.132.195.92	7
66.132.195.96	7
66.132.195.101	7
66.132.195.102	7
66.132.195.107	7
66.132.195.109	7
66.132.195.110	7
66.132.195.112	7
66.132.195.113	7
66.132.195.114	7
66.132.195.115	7
66.132.195.117	7
66.132.195.118	7
66.132.195.119	7
66.132.195.120	7
66.132.195.122	7
66.132.195.125	7
66.132.224.81	7
66.132.224.86	7
66.132.224.87	7
66.132.224.88	7
66.132.224.89	7
66.132.224.93	7
66.132.224.229	7
66.132.224.235	7
66.132.224.236	7
66.228.36.223	7
67.206.199.37	7
67.206.199.46	7
67.206.199.61	7
68.183.96.213	7
69.5.21.196	7
69.5.23.222	7
69.5.169.8	7
69.5.169.29	7
69.5.169.77	7
69.5.169.101	7
69.5.169.104	7
69.5.169.114	7
69.5.169.132	7
69.5.169.139	7
69.5.169.151	7
69.5.169.167	7
69.5.169.178	7
69.5.169.182	7
69.5.169.199	7
69.5.169.204	7
69.5.169.211	7
69.5.169.214	7
69.5.169.220	7
69.5.169.233	7
69.5.169.243	7
69.5.169.244	7
69.5.169.248	7
69.6.222.101	7
69.6.250.129	7
71.6.134.231	7
71.6.134.233	7
71.6.134.237	7
71.6.146.130	7
71.6.158.166	7
71.6.199.23	7
73.147.19.171	7
76.23.15.127	7
76.79.213.70	7
76.81.71.226	7
77.91.66.181	7
77.239.124.112	7
77.239.124.130	7
78.44.192.210	7
80.82.77.33	7
80.82.77.202	7
80.94.92.55	7
80.253.31.232	7
81.192.46.45	7
81.211.72.167	7
82.39.154.137	7
83.233.149.23	7
83.235.16.111	7
84.44.39.47	7
85.19.195.12	7
85.217.140.1	7
85.217.149.0	7
85.217.149.8	7
85.217.149.10	7
85.217.149.11	7
85.217.149.12	7
85.217.149.13	7
85.217.149.14	7
85.217.149.15	7
85.217.149.17	7
85.217.149.18	7
85.217.149.19	7
85.217.149.20	7
85.217.149.22	7
85.217.149.23	7
85.217.149.24	7
85.217.149.25	7
85.217.149.28	7
85.217.149.29	7
85.217.149.30	7
85.217.149.31	7
85.217.149.32	7
85.217.149.33	7
85.217.149.34	7
85.217.149.36	7
85.217.149.38	7
85.217.149.39	7
85.217.149.40	7
85.217.149.41	7
85.217.149.43	7
85.217.149.45	7
85.217.149.48	7
85.217.149.49	7
85.217.149.53	7
85.217.149.54	7
85.217.149.55	7
85.217.149.56	7
85.217.149.58	7
85.217.149.65	7
85.217.149.66	7
85.217.149.68	7
85.217.149.72	7
86.54.31.32	7
86.54.31.34	7
88.142.46.185	7
88.249.195.23	7
89.248.172.11	7
91.92.40.236	7
91.236.224.37	7
92.27.101.99	7
92.118.39.50	7
92.118.39.65	7
92.118.39.71	7
92.118.39.77	7
93.152.221.37	7
93.174.93.12	7
94.26.106.19	7
94.102.49.193	7
94.180.139.162	7
95.85.114.218	7
95.173.161.147	7
101.96.197.182	7
101.96.202.177	7
102.88.137.80	7
102.88.137.213	7
102.140.97.134	7
102.220.161.79	7
102.220.161.84	7
102.220.161.85	7
102.220.161.86	7
102.223.92.101	7
102.244.97.185	7
103.4.145.50	7
103.10.120.8	7
103.28.37.12	7
103.28.38.27	7
103.46.186.85	7
103.46.186.148	7
103.63.108.25	7
103.75.183.43	7
103.79.90.26	7
103.82.21.8	7
103.90.25.52	7
103.93.37.178	7
103.106.103.218	7
103.113.153.50	7
103.118.82.254	7
103.121.20.18	7
103.139.126.5	7
103.142.240.142	7
103.143.11.150	7
103.143.231.24	7
103.147.159.91	7
103.182.132.154	7
103.189.5.190	7
103.208.219.38	7
103.214.5.133	7
103.214.100.4	7
103.234.200.252	7
103.239.252.132	7
103.241.43.193	7
107.150.104.16	7
107.155.15.8	7
109.105.209.12	7
109.105.210.88	7
109.123.227.46	7
111.68.98.152	7
112.194.142.167	7
113.23.225.9	7
113.137.40.250	7
113.141.171.139	7
114.111.54.189	7
115.68.208.117	7
115.178.75.242	7
115.190.216.185	7
115.243.248.82	7
116.114.94.242	7
116.123.150.231	7
116.255.159.152	7
117.2.125.84	7
117.50.51.198	7
117.50.178.180	7
118.26.38.251	7
118.194.228.101	7
119.28.46.114	7
119.246.15.94	7
121.178.185.141	7
121.227.152.250	7
122.168.194.41	7
123.16.143.216	7
123.129.245.249	7
125.31.2.160	7
125.35.109.214	7
125.91.33.72	7
128.1.32.99	7
129.121.75.215	7
129.121.119.196	7
129.121.123.80	7
129.151.171.7	7
138.2.235.147	7
141.95.162.162	7
144.172.105.41	7
144.202.92.17	7
147.50.227.79	7
147.90.234.19	7
147.185.132.31	7
147.185.132.42	7
147.185.132.43	7
147.185.132.48	7
147.185.132.57	7
147.185.132.58	7
147.185.132.79	7
147.185.132.81	7
147.185.132.90	7
147.185.132.96	7
147.185.132.97	7
147.185.132.100	7
147.185.132.103	7
147.185.132.111	7
147.185.132.115	7
147.185.132.118	7
147.185.132.165	7
147.185.132.189	7
147.185.132.204	7
147.185.132.216	7
147.185.132.219	7
147.185.132.232	7
147.185.132.243	7
147.185.132.252	7
147.224.162.134	7
150.107.36.236	7
150.107.38.40	7
150.107.38.251	7
150.136.129.10	7
152.32.204.21	7
152.32.207.150	7
153.75.225.110	7
156.225.14.74	7
156.227.234.198	7
156.245.246.50	7
157.66.26.151	7
157.66.47.161	7
157.230.18.133	7
157.230.218.106	7
158.51.126.147	7
160.251.182.78	7
161.35.73.18	7
161.49.89.39	7
