2023-03-01 12:54:21,malwrhunterteam,url,https://hpuniversity.in/documents/assignment2/assignment2.zip,,https://twitter.com/malwrhunterteam/status/1630914369562324999
2023-03-01 12:56:28,malwrhunterteam,url,https://hpuniversity.in/documents/assignment3/assignment3.zip,,https://twitter.com/malwrhunterteam/status/1630914902255628292
2023-03-01 12:56:28,malwrhunterteam,url,https://hpuniversity.in/documents/shared/woman/Violance%20Against%20Women.docx,,https://twitter.com/malwrhunterteam/status/1630914902255628292
2023-03-01 12:58:20,malwrhunterteam,url,https://hpuniversity.in/documents/survey/Survey.zip,,https://twitter.com/malwrhunterteam/status/1630915373435330563
2023-03-01 12:58:20,malwrhunterteam,url,https://hpuniversity.in/documents/women/Women.zip,,https://twitter.com/malwrhunterteam/status/1630915373435330563
2023-03-01 13:00:57,malwrhunterteam,url,https://hpuniversity.in/uploadsssss/files/file2/file2.zip,,https://twitter.com/malwrhunterteam/status/1630916032859717632
2023-03-01 13:00:57,malwrhunterteam,url,https://hpuniversity.in/uploadsssss/files/file3/file3.zip,,https://twitter.com/malwrhunterteam/status/1630916032859717632
2023-03-01 13:01:54,drb_ra,url,http://42.51.49.171:81,#CobaltStrike,https://twitter.com/drb_ra/status/1630916268592070656
2023-03-01 13:01:54,drb_ra,url,http://42.51.49.171./visit.js,#CobaltStrike,https://twitter.com/drb_ra/status/1630916268592070656
2023-03-01 13:01:54,drb_ra,ip,42.51.49.171,#CobaltStrike,https://twitter.com/drb_ra/status/1630916268592070656
2023-03-01 13:02:32,malwrhunterteam,url,https://hpuniversity.in/uploadsssss/files/survey/Survey.zip,,https://twitter.com/malwrhunterteam/status/1630916431389896704
2023-03-01 13:02:32,malwrhunterteam,url,https://hpuniversity.in/uploadsssss/files/women/Women.zip,,https://twitter.com/malwrhunterteam/status/1630916431389896704
2023-03-01 13:05:22,drb_ra,url,http://152.89.247.149:443,#CobaltStrike,https://twitter.com/drb_ra/status/1630917141833687042
2023-03-01 13:05:22,drb_ra,url,"http://ravomariri.com./Split/configure/0TA39FV4P4Y,152.89.247.149,/Split/configure/0TA39FV4P4Y",#CobaltStrike,https://twitter.com/drb_ra/status/1630917141833687042
2023-03-01 13:05:22,drb_ra,ip,152.89.247.149,#CobaltStrike,https://twitter.com/drb_ra/status/1630917141833687042
2023-03-01 13:06:02,drb_ra,url,http://139.59.203.159:443,#CobaltStrike,https://twitter.com/drb_ra/status/1630917311837229056
2023-03-01 13:06:02,drb_ra,url,http://139.59.203.159./Setup/v3.23/Z251N18HL2SF,#CobaltStrike,https://twitter.com/drb_ra/status/1630917311837229056
2023-03-01 13:06:02,drb_ra,ip,139.59.203.159,#CobaltStrike,https://twitter.com/drb_ra/status/1630917311837229056
2023-03-01 13:57:03,drb_ra,url,http://194.135.17.3:8443,,https://twitter.com/drb_ra/status/1630930151419650049
2023-03-01 13:57:03,drb_ra,ip,194.135.17.3,,https://twitter.com/drb_ra/status/1630930151419650049
2023-03-01 13:59:48,drb_ra,url,http://149.129.72.37:18444,#CobaltStrike,https://twitter.com/drb_ra/status/1630930842552811520
2023-03-01 13:59:48,drb_ra,url,http://149.129.72.37./cm,#CobaltStrike,https://twitter.com/drb_ra/status/1630930842552811520
2023-03-01 13:59:48,drb_ra,ip,149.129.72.37,#CobaltStrike,https://twitter.com/drb_ra/status/1630930842552811520
2023-03-01 13:59:55,drb_ra,url,http://152.89.196.245:6789,#CobaltStrike,https://twitter.com/drb_ra/status/1630930868851073024
2023-03-01 13:59:55,drb_ra,url,http://152.89.196.245./ptj,#CobaltStrike,https://twitter.com/drb_ra/status/1630930868851073024
2023-03-01 13:59:55,drb_ra,ip,152.89.196.245,#CobaltStrike,https://twitter.com/drb_ra/status/1630930868851073024
2023-03-01 14:00:39,drb_ra,url,http://43.140.193.29:80,#CobaltStrike,https://twitter.com/drb_ra/status/1630931055271108614
2023-03-01 14:00:39,drb_ra,url,http://43.140.193.29./activity,#CobaltStrike,https://twitter.com/drb_ra/status/1630931055271108614
2023-03-01 14:00:39,drb_ra,ip,43.140.193.29,#CobaltStrike,https://twitter.com/drb_ra/status/1630931055271108614
2023-03-01 14:01:42,drb_ra,url,http://194.135.104.48:443,#CobaltStrike,https://twitter.com/drb_ra/status/1630931317868097537
2023-03-01 14:01:42,drb_ra,url,http://194.135.104.48./cx,#CobaltStrike,https://twitter.com/drb_ra/status/1630931317868097537
