2023-03-13 13:30:34,pr0xylife,url,https://azarmadar.com/aUqL/120,#Qakbot,https://twitter.com/pr0xylife/status/1635272138323288067
2023-03-13 06:22:54,drfabiocastro,url,https://capcutdesktop.xyz,#malware,https://twitter.com/drfabiocastro/status/1635164514017771520
2023-03-13 06:22:54,drfabiocastro,url,https://capcutdesktop.shop,#malware,https://twitter.com/drfabiocastro/status/1635164514017771520
2023-03-13 06:22:54,drfabiocastro,url,https://capcutdesktop.site,#malware,https://twitter.com/drfabiocastro/status/1635164514017771520
2023-03-13 06:22:54,drfabiocastro,ip,06:07:30,#malware,https://twitter.com/drfabiocastro/status/1635164514017771520
