2023-02-07 17:09:14,abuse_ch,url,http://4.246.148.250/1/espanha/ybnzkvj.php,,https://twitter.com/abuse_ch/status/1623005982862331906
2023-02-07 17:09:14,abuse_ch,url,http://4.246.148.250/1/allpaisesperu/ybnzkvj.php,,https://twitter.com/abuse_ch/status/1623005982862331906
2023-02-07 17:39:15,500mk500,url,http://dgpkknqp.page.link,#Ursnif,https://twitter.com/500mk500/status/1623013535520370716
2023-02-07 17:39:15,500mk500,url,http://unyoclfx.page.link,#Ursnif,https://twitter.com/500mk500/status/1623013535520370716
2023-02-07 17:39:15,500mk500,url,http://yimrqukq.page.link,#Ursnif,https://twitter.com/500mk500/status/1623013535520370716
2023-02-07 07:17:36,Cyber0verload,url,http://mfa-gov-tm.ru,,https://twitter.com/Cyber0verload/status/1622857089503690752
2023-02-07 07:17:36,Cyber0verload,url,http://mfa-gov-tm.online,,https://twitter.com/Cyber0verload/status/1622857089503690752
2023-02-07 07:17:36,Cyber0verload,url,http://exchange-gov-tm.ru,,https://twitter.com/Cyber0verload/status/1622857089503690752
2023-02-07 07:17:36,Cyber0verload,url,http://exchange-gov-tm.online,,https://twitter.com/Cyber0verload/status/1622857089503690752
2023-02-07 07:17:36,Cyber0verload,url,http://tdh-gov-tm.ru,,https://twitter.com/Cyber0verload/status/1622857089503690752
2023-02-07 07:17:36,Cyber0verload,url,http://tdh-gov-tm.online,,https://twitter.com/Cyber0verload/status/1622857089503690752
2023-02-07 07:17:36,Cyber0verload,url,http://saylanan-com.ru,,https://twitter.com/Cyber0verload/status/1622857089503690752
2023-02-07 17:19:59,Cyber0verload,url,http://penny.glove38.gayado.ru/WIN-NKDT573S45D/needlework.vp,,https://twitter.com/Cyber0verload/status/1623008687311708160
2023-02-07 17:19:59,Cyber0verload,url,http://penny.glove38.gayado.ru,,https://twitter.com/Cyber0verload/status/1623008687311708160
2023-02-07 17:19:59,Cyber0verload,md5,04c264cb2f58d7c25ca8d764542b0951,,https://twitter.com/Cyber0verload/status/1623008687311708160
2023-02-07 17:50:01,dnstwist,url,http://httpnetflix.com,#phishing,https://twitter.com/dnstwist/status/1623016244113711104
2023-02-07 17:29:59,x3ph1,url,http://️C2:49.12.239.21,,https://twitter.com/x3ph1/status/1623011203005001749
2023-02-07 17:29:59,x3ph1,ip,49.12.239.21,,https://twitter.com/x3ph1/status/1623011203005001749
2023-02-07 15:28:01,Merlax_,url,http://thunderous-fox-3ff758.netlify.app/,,https://twitter.com/Merlax_/status/1622980509151133696
2023-02-07 15:28:01,Merlax_,url,http://www.skoulan.com/ualap/,,https://twitter.com/Merlax_/status/1622980509151133696
2023-02-07 05:02:08,StopMalvertisin,url,http://188.225.31.186/06.02/mil/never.DjVu,,https://twitter.com/StopMalvertisin/status/1622823002286206976
2023-02-07 05:02:08,StopMalvertisin,ip,188.225.31.186,,https://twitter.com/StopMalvertisin/status/1622823002286206976
2023-02-07 05:02:08,StopMalvertisin,md5,c43c5e25b77deec6893a9454c39f0fbf,,https://twitter.com/StopMalvertisin/status/1622823002286206976
2023-02-07 05:02:08,StopMalvertisin,md5,9099e0733e9817fec0fd8792ccd9b86c,,https://twitter.com/StopMalvertisin/status/1622823002286206976
2023-02-07 18:23:05,JAMESWT_MHT,url,http://segzrecords.com/,,https://twitter.com/JAMESWT_MHT/status/1623024563779936257
2023-02-07 17:42:59,MassinissaDC,url,http://h**ps://vigilant-lichterman.23-26-193-88.plesk.page/,#phishing,https://twitter.com/MassinissaDC/status/1623014475182837773
2023-02-07 17:42:59,MassinissaDC,url,http://h**ps://fattura09738763876-pdf.23-26-193-88.plesk.page/pagamento/,#phishing,https://twitter.com/MassinissaDC/status/1623014475182837773
2023-02-07 18:09:46,AtomSpam,url,http://dev-home-seguridad-banca-electronica.pantheonsite.io/,#phishing,https://twitter.com/AtomSpam/status/1623021215697739776
2023-02-07 18:11:27,ecarlesi,url,http://oportunidademelhor.online,#phishing,https://twitter.com/ecarlesi/status/1623021637711892482
2023-02-07 18:12:17,AtomSpam,url,http://dev-ban-itaupyseguridad.pantheonsite.io/,#phishing,https://twitter.com/AtomSpam/status/1623021846248423424
2023-02-07 18:12:45,skept1kal,url,http://http://216.146.25.57/11747.dat,#Qakbot,https://twitter.com/skept1kal/status/1623021965790392320
2023-02-07 18:12:45,skept1kal,ip,216.146.25.57,#Qakbot,https://twitter.com/skept1kal/status/1623021965790392320
2023-02-07 18:14:47,AtomSpam,url,http://dev-seguridad-banca-electronicapy.pantheonsite.io/,#phishing,https://twitter.com/AtomSpam/status/1623022478120439808
2023-02-07 18:15:53,AtomSpam,url,http://dev-seguridad-banca-electronica-itau.pantheonsite.io/,#phishing,https://twitter.com/AtomSpam/status/1623022754411778057
2023-02-07 18:18:15,noladefense,url,http://sec-bisco.com/,#phishing #scam,https://twitter.com/noladefense/status/1623023351001190412
2023-02-07 18:18:15,noladefense,ip,38.54.94.237,#phishing #scam,https://twitter.com/noladefense/status/1623023351001190412
2023-02-07 18:19:46,AtomSpam,url,http://mariebize4.temp.swtest.ru/AG/Pr,#phishing,https://twitter.com/AtomSpam/status/1623023733085507588
2023-02-07 18:22:19,AtomSpam,url,http://wordpress-105593-0.cloudclusters.net/orangecorrespondant/ecout/41956b76885f0d2/login.php?particulier,#phishing,https://twitter.com/AtomSpam/status/1623024372905648129
2023-02-07 18:23:42,AtomSpam,url,http://yutyrterwewrertyiouiuyt.us-east-1.linodeobjects.com/login532.html,#phishing,https://twitter.com/AtomSpam/status/1623024720269479938
