2022-12-06 02:08:25,romonlyht,url,http://wxeite.cn/,#phishing,https://twitter.com/romonlyht/status/1599948846557442049
2022-12-06 02:08:25,romonlyht,ip,04:12:51,#phishing,https://twitter.com/romonlyht/status/1599948846557442049
2022-12-06 02:09:00,romonlyht,url,http://jrcen.cn/,#phishing,https://twitter.com/romonlyht/status/1599948994993852416
2022-12-06 02:09:00,romonlyht,ip,78.153.145.95,#phishing,https://twitter.com/romonlyht/status/1599948994993852416
2022-12-06 02:09:00,romonlyht,ip,04:15:36,#phishing,https://twitter.com/romonlyht/status/1599948994993852416
2022-12-06 02:09:47,romonlyht,url,http://dlbymhg.cn/oJuwIq1,#phishing,https://twitter.com/romonlyht/status/1599949192348467200
2022-12-06 02:09:47,romonlyht,ip,212.86.101.10,#phishing,https://twitter.com/romonlyht/status/1599949192348467200
2022-12-06 02:09:47,romonlyht,ip,103.120.80.155,#phishing,https://twitter.com/romonlyht/status/1599949192348467200
2022-12-06 02:09:47,romonlyht,ip,04:35:08,#phishing,https://twitter.com/romonlyht/status/1599949192348467200
2022-12-06 02:10:10,ecarlesi,url,http://diniance.art/index-2.html,#phishing,https://twitter.com/ecarlesi/status/1599949288355897345
2022-12-06 02:10:12,AtomSpam,url,http://confirmacion.bancagalicia145.repl.co/,#phishing,https://twitter.com/AtomSpam/status/1599949294949179392
2022-12-06 02:12:46,ecarlesi,url,http://d7876cc6sdsdweb.xyz,#phishing,https://twitter.com/ecarlesi/status/1599949942113566722
2022-12-06 02:13:15,ecarlesi,url,http://virginiabbartels.info/,#phishing,https://twitter.com/ecarlesi/status/1599950062012010496
2022-12-06 02:14:15,AtomSpam,url,http://acikdenizvv2denizmobil.tk/,#phishing,https://twitter.com/AtomSpam/status/1599950317482827776
2022-12-06 02:16:35,ecarlesi,url,http://391171.org/,#malware,https://twitter.com/ecarlesi/status/1599950904354082816
2022-12-06 02:16:46,AtomSpam,url,http://denizmobilacikdeniz.cf/,#phishing,https://twitter.com/AtomSpam/status/1599950947295322113
2022-12-06 02:16:56,ecarlesi,url,http://391160.org/,#malware,https://twitter.com/ecarlesi/status/1599950992455475206
2022-12-06 02:16:58,ecarlesi,url,http://391155.org/,#malware,https://twitter.com/ecarlesi/status/1599951000764284930
2022-12-06 02:18:12,ecarlesi,url,http://391138.org/index.html?shareName=391138[.]org,#malware,https://twitter.com/ecarlesi/status/1599951311474229249
2022-12-06 02:18:57,ecarlesi,url,http://addresspostcanada.info/,#phishing,https://twitter.com/ecarlesi/status/1599951497097318401
2022-12-06 02:19:12,AtomSpam,url,http://u1860620.cp.regruhosting.ru/9fa3497d297defdd39ef0ad4c2b8319c/3397e69cce37e37c8605f57b367d6b33/sucarsal,#phishing,https://twitter.com/AtomSpam/status/1599951562771767298
2022-12-06 02:19:12,AtomSpam,md5,9fa3497d297defdd39ef0ad4c2b8319c,#phishing,https://twitter.com/AtomSpam/status/1599951562771767298
2022-12-06 02:19:12,AtomSpam,md5,3397e69cce37e37c8605f57b367d6b33,#phishing,https://twitter.com/AtomSpam/status/1599951562771767298
2022-12-06 02:20:24,romonlyht,url,http://www.eki-net.kaotuyou.info/a2trMT9jaGlzYXRvQHV0bS5zZS51ZWMuYWMuanA,#phishing,https://twitter.com/romonlyht/status/1599951862022942721
2022-12-06 02:20:24,romonlyht,ip,149.30.221.207,#phishing,https://twitter.com/romonlyht/status/1599951862022942721
2022-12-06 02:20:24,romonlyht,ip,198.55.122.115,#phishing,https://twitter.com/romonlyht/status/1599951862022942721
2022-12-06 02:20:24,romonlyht,ip,05:54:35,#phishing,https://twitter.com/romonlyht/status/1599951862022942721
2022-12-06 02:22:50,ecarlesi,url,http://391158.org/,#malware,https://twitter.com/ecarlesi/status/1599952476165242882
2022-12-06 02:23:12,AtomSpam,url,http://18.215.93.203/mua/VALIDATEPASS/scis/j6UnVHZsitlYrxStPNFUN4TsSjgEJkN7dlDp6FXSjFxO/3D/no-back-button/,#phishing,https://twitter.com/AtomSpam/status/1599952568343568385
2022-12-06 02:23:12,AtomSpam,ip,18.215.93.203,#phishing,https://twitter.com/AtomSpam/status/1599952568343568385
